,Unnamed: 0,make_model,body_type,price,vat,km,hp,type,gearing_type,displacement,fuel,co2_emission,comfort&convenience,entertainment&media,extras,safety&security,gears,age_of_car,Inspection,warranty_,cons_comb,cons_city,cons_country,co2_emission6,Upholstery_Type
14048,14048,Renault Clio,Compact,16390,,10.0,,New,Automatic,,Benzine,,,,,,,0.0,No,12.0,,,,,
14050,14050,Renault Clio,Compact,16490,,10.0,,New,Automatic,,Benzine,,,,,,,0.0,No,12.0,,,,,
14057,14057,Renault Clio,Compact,16990,,22750.0,,Used,Automatic,,other_fuel,,,,,,,2.0,No,12.0,,,,,
14058,14058,Renault Clio,Station wagon,17590,,10500.0,66.0,Used,Automatic,,Benzine,,,,,,,1.0,No,,,,,,
14059,14059,Renault Clio,Station wagon,16990,,10.0,,New,Automatic,,Benzine,,,,,,,0.0,No,12.0,,,,,
14455,14455,Renault Clio,Sedans,22800,,6000.0,147.0,Used,Automatic,,other_fuel,,"Armrest,Cruise control,Electrical side mirrors,Leather steering wheel,Light sensor,Multi-function steering wheel,Rain sensor,Seat heating,Split rear seats,Start-stop system","['Bluetooth', 'CD player', 'On-board computer', 'USB']","['Alloy wheels', 'Shift paddles', 'Sport package', 'Sport seats', 'Sport suspension', 'Touch screen']","['ABS', 'Central door lock', 'Electronic stability control', 'Fog lights', 'Immobilizer', 'Isofix', 'LED Daytime Running Lights', 'LED Headlights', 'Tire pressure monitoring system', 'Traction control']",,1.0,No,,,,,,Cloth
14728,14728,Renault Clio,Compact,11490,VAT deductible,10.0,55.0,New,Manual,,other_fuel,,"Air conditioning,Cruise control,Electrical side mirrors,Multi-function steering wheel,Power windows,Start-stop system","['Bluetooth', 'MP3', 'On-board computer', 'Radio', 'USB']",,"['ABS', 'Central door lock with remote control', 'Electronic stability control', 'Fog lights', 'Immobilizer', 'Isofix', 'LED Daytime Running Lights', 'Power steering']",,,No,,,,,,
14729,14729,Renault Clio,Compact,11490,VAT deductible,10.0,55.0,New,Manual,,other_fuel,,"Air conditioning,Cruise control,Electrical side mirrors,Multi-function steering wheel,Power windows,Start-stop system","['Bluetooth', 'MP3', 'On-board computer', 'Radio', 'USB']",,"['ABS', 'Central door lock with remote control', 'Electronic stability control', 'Fog lights', 'Immobilizer', 'Isofix', 'LED Daytime Running Lights', 'Power steering']",,,No,,,,,,
14775,14775,Renault Clio,Compact,10990,VAT deductible,10.0,55.0,New,Manual,,other_fuel,,"Air conditioning,Cruise control,Electrical side mirrors,Multi-function steering wheel,Power windows,Start-stop system","['Bluetooth', 'MP3', 'On-board computer', 'Radio', 'USB']",,"['ABS', 'Central door lock with remote control', 'Electronic stability control', 'Fog lights', 'Immobilizer', 'Isofix', 'LED Daytime Running Lights', 'Power steering']",,,No,,,,,,
14776,14776,Renault Clio,Compact,10990,VAT deductible,10.0,55.0,New,Manual,,other_fuel,,"Air conditioning,Cruise control,Electrical side mirrors,Multi-function steering wheel,Power windows,Start-stop system","['Bluetooth', 'MP3', 'On-board computer', 'Radio', 'USB']",,"['Central door lock with remote control', 'Electronic stability control', 'Fog lights', 'Immobilizer', 'Isofix', 'LED Daytime Running Lights', 'Power steering']",,,No,,,,,,
14777,14777,Renault Clio,Compact,10990,VAT deductible,10.0,55.0,New,Manual,,other_fuel,,"Air conditioning,Cruise control,Multi-function steering wheel,Power windows,Start-stop system","['Bluetooth', 'MP3', 'On-board computer', 'Radio', 'USB']",,"['ABS', 'Central door lock with remote control', 'Electronic stability control', 'Fog lights', 'Immobilizer', 'Isofix', 'LED Daytime Running Lights', 'Power steering']",,,No,,,,,,
14830,14830,Renault Clio,Station wagon,11100,,,55.0,New,Manual,,other_fuel,,"Air conditioning,Cruise control,Electrical side mirrors,Power windows","['Bluetooth', 'On-board computer', 'Radio', 'USB']",,"['ABS', 'Central door lock with remote control', 'Driver-side airbag', 'Electronic stability control', 'Immobilizer', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system']",,,No,,,,,,Cloth
14879,14879,Renault Clio,Station wagon,10964,VAT deductible,10.0,66.0,New,Manual,,other_fuel,113.0,"Air conditioning,Cruise control,Leather steering wheel,Power windows","['Bluetooth', 'Hands-free equipment', 'On-board computer', 'Radio', 'USB']",,"['ABS', 'Central door lock', 'Daytime running lights', 'Emergency brake assistant', 'Isofix']",6.0,,No,,,6.3,4.2,113.0,
14942,14942,Renault Espace,Van,24590,,16163.0,,Used,Automatic,,Benzine,,,,,,,2.0,No,12.0,,,,,
14956,14956,Renault Espace,Van,27790,VAT deductible,22220.0,118.0,Used,Automatic,,Benzine,,"Cruise control,Power windows",,['Alloy wheels'],"['ABS', 'Driver-side airbag', 'Passenger-side airbag', 'Side airbag', 'Traction control']",,2.0,No,12.0,4.0,,,,
14960,14960,Renault Espace,Van,25990,VAT deductible,15888.0,,Used,Automatic,,Benzine,,Cruise control,,['Alloy wheels'],"['ABS', 'Driver-side airbag', 'Passenger-side airbag', 'Side airbag', 'Traction control']",,2.0,No,12.0,4.0,,,,
14963,14963,Renault Espace,Van,25990,,16613.0,,Used,Automatic,,Benzine,,,,,,,2.0,No,12.0,,,,,
15008,15008,Renault Espace,Coupe,26994,,14478.0,118.0,Used,Automatic,,Benzine,,Park Distance Control,,,"['Driver-side airbag', 'Passenger-side airbag', 'Side airbag']",,1.0,No,,,,,,
15009,15009,Renault Espace,Van,26990,VAT deductible,4068.0,,Used,Automatic,,Benzine,,,,,,,1.0,No,12.0,4.0,,,,
15044,15044,Renault Espace,Van,24840,,12182.0,,Used,Automatic,,Benzine,,,,,,,2.0,No,12.0,,,,,
15047,15047,Renault Espace,Van,24790,,15328.0,,Used,Automatic,,Benzine,,,,,,,2.0,No,12.0,,,,,
15115,15115,Renault Espace,Van,22990,,22595.0,,Used,Automatic,,Benzine,,,,,,,2.0,No,12.0,,,,,
15128,15128,Renault Espace,Van,24490,,19939.0,,Used,Automatic,,Benzine,,,,,,,2.0,No,12.0,,,,,
15129,15129,Renault Espace,Van,24490,,18268.0,,Used,Automatic,,Benzine,,,,,,,2.0,No,12.0,,,,,
15142,15142,Renault Espace,Van,23990,,27377.0,,Used,Automatic,,Benzine,,,,,,,3.0,No,12.0,,,,,
15206,15206,Renault Espace,Van,21490,VAT deductible,29900.0,118.0,Used,Automatic,,Benzine,,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrically adjustable seats,Electrical side mirrors,Hill Holder,Keyless central door lock,Leather steering wheel,Multi-function steering wheel,Navigation system,Panorama roof,Park Distance Control,Parking assist system camera,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Split rear seats,Start-stop system,Tinted windows","['Bluetooth', 'Digital radio', 'Hands-free equipment', 'MP3', 'On-board computer', 'Radio', 'Sound system', 'USB']","['Alloy wheels', 'Touch screen', 'Voice Control']","['ABS', 'Adaptive Cruise Control', 'Alarm system', 'Central door lock with remote control', 'Driver-side airbag', 'Electronic stability control', 'Emergency system', 'Fog lights', 'Head airbag', 'Immobilizer', 'Isofix', 'Lane departure warning system', 'LED Daytime Running Lights', 'LED Headlights', 'Passenger-side airbag', 'Power steering', 'Rear airbag', 'Side airbag', 'Tire pressure monitoring system', 'Traction control', 'Traffic sign recognition', 'Xenon headlights']",,2.0,No,,,,,,Part leather
